"filename", "language", "TypeScript JSX", "TypeScript", "CSS", "comment", "blank", "total"
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\hooks\use-mobile.tsx", "TypeScript JSX", -15, 0, 0, 0, -5, -20
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\hooks\use-toast.ts", "TypeScript", 0, -154, 0, -2, -31, -187
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\hooks\useAddonAccess.ts", "TypeScript", 0, -33, 0, 0, -8, -41
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\hooks\useCotacaoCategorias.ts", "TypeScript", 0, -96, 0, -4, -14, -114
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\hooks\useCronograma.ts", "TypeScript", 0, -227, 0, -9, -21, -257
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\hooks\useEtapaDependencias.ts", "TypeScript", 0, -133, 0, -4, -19, -156
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\hooks\useGanttDependencies.ts", "TypeScript", 0, -140, 0, -6, -27, -173
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\hooks\useGanttFinanceiro.ts", "TypeScript", 0, -78, 0, 0, -12, -90
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\hooks\useOrcamentoParaCronograma.ts", "TypeScript", 0, -73, 0, 0, -9, -82
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\hooks\useOrcamentoUndo.ts", "TypeScript", 0, -57, 0, -1, -9, -67
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\hooks\usePersistentPageState.ts", "TypeScript", 0, -42, 0, -1, -7, -50
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\hooks\usePlanLimits.ts", "TypeScript", 0, -25, 0, 0, -4, -29
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\hooks\useRecursos.ts", "TypeScript", 0, -98, 0, -1, -15, -114
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\hooks\useVoiceInput.ts", "TypeScript", 0, -93, 0, -3, -20, -116
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\index.css", "CSS", 0, 0, -138, 0, -29, -167
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\integrations\supabase\client.ts", "TypeScript", 0, -14, 0, -3, -3, -20
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\integrations\supabase\types.ts", "TypeScript", 0, -323, 0, -2, -10, -335
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\integrations\supabase\untyped.ts", "TypeScript", 0, -7, 0, 0, -2, -9
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\lib\normalizeText.ts", "TypeScript", 0, -15, 0, 0, -1, -16
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\lib\planilha\exportCotacao.ts", "TypeScript", 0, -57, 0, -4, -11, -72
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\lib\planilha\importCotacao.ts", "TypeScript", 0, -69, 0, -1, -9, -79
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\lib\sinapi\buscarComposicoes.ts", "TypeScript", 0, -81, 0, 0, -16, -97
